Hour,Success,TotalLoadMW,TotalGenerationMW,Objective,SecurityScenarioCount,RunElapsedSeconds,Message
1,1,64516.25,63758.9999999991,731807198.537604,0,53.4959105,Solved
2,1,61990,61261.0000036292,731807198.537604,0,53.4959105,Solved
3,1,60422.5,59714.0000000007,731807198.537604,0,53.4959105,Solved
4,1,59841.25,59137.0000000004,731807198.537604,0,53.4959105,Solved
5,1,61500,60775.9999999999,731807198.537604,0,53.4959105,Solved
6,1,66237.5,65458.9999999986,731807198.537604,0,53.4959105,Solved
7,1,72812.5,71957.0000000006,731807198.537604,0,53.4959105,Solved
8,1,75943.75,75050.0000000038,731807198.537604,0,53.4959105,Solved
9,1,76171.25,75276.0000000008,731807198.537604,0,53.4959105,Solved
10,1,75223.75,74339.0000000003,731807198.537604,0,53.4959105,Solved
11,1,75177.5,74292.0000000002,731807198.537604,0,53.4959105,Solved
12,1,75182.5,74301.0000000002,731807198.537604,0,53.4959105,Solved
13,1,75803.75,74910.0000000004,731807198.537604,0,53.4959105,Solved
14,1,77636.25,76725.0000000007,731807198.537604,0,53.4959105,Solved
15,1,79485,78550.0000000007,731807198.537604,0,53.4959105,Solved
16,1,81565,80605.9999999994,731807198.537604,0,53.4959105,Solved
17,1,84818.75,81542.4338457823,731807198.537604,0,53.4959105,Solved
18,1,90583.75,82889.910641089,731807198.537604,0,53.4959105,Solved
19,1,89465,82671.1547916537,731807198.537604,0,53.4959105,Solved
20,1,86605,82041.8362603684,731807198.537604,0,53.4959105,Solved
21,1,83071.25,81052.6665422291,731807198.537604,0,53.4959105,Solved
22,1,78685,77758.000000006,731807198.537604,0,53.4959105,Solved
23,1,72786.25,71928.9999999978,731807198.537604,0,53.4959105,Solved
24,1,67707.5,66910.0000049355,731807198.537604,0,53.4959105,Solved
